zipcode,latitude,longitude,state,population,2015,2016,2017,2018,2019,2020,2021,2022,2023,Net_Income,bedroom_number,bathroom_number,living_space,land_space
75243,32.91232,-96.73633,TX,65118,120344.6307,139912.113,160402.1552,179796.2229,187300.1913,194283.9169,220901.7831,263160.589,271538.1014,186425,3,3,1923,3340
75244,32.92544,-96.83671,TX,12806,330642.4059,368582.6589,388095.7104,407098.8963,419215.6824,440090.8377,499483.8743,592147.754,620102.3094,19634,4,3,2813,2753
75246,32.79296,-96.77322,TX,2307,178744.5947,206578.3833,229780.6316,251271.8976,264118.6115,286773.2145,320329.5239,356573.5813,352234.2571,6549,3,3,2093,5980
75248,32.96957,-96.79542,TX,36317,287476.2095,323266.4376,350855.9731,375529.2106,379932.3551,395010.4181,440028.8412,516476.0093,542839.9092,55309,3,3,3008,4178
75249,32.6449,-96.96257,TX,17629,126806.3989,144472.9696,162106.1193,180344.6738,192804.5344,205450.3769,239613.339,287474.479,291823.687,34126,4,2,2037,7201
75252,32.99696,-96.78983,TX,27310,332542.3133,361266.1208,383101.5967,393340.5769,393462.1897,403943.2659,460470.973,554121.8194,571772.6904,46230,4,3,2853,5299
75253,32.67278,-96.61171,TX,24090,99781.37383,116791.5134,135436.3456,156144.8481,169204.0067,182850.6394,213927.7444,264528.6545,267956.0838,53014,4,2,2221,3568
75254,32.94571,-96.80127,TX,24047,127946.0437,146348.3198,166427.7289,180443.9312,186350.3184,191796.3742,209103.3925,245776.136,252725.5791,57576,3,4,3163,458
75287,33.00015,-96.84075,TX,51855,257121.8974,282718.7108,303747.5667,314199.075,315534.2283,325001.3759,367532.5677,437957.6881,450547.436,122823,3,3,2653,5192
75401,33.18506,-96.11556,TX,21087,60589.64339,66931.91309,74810.82928,91648.04022,105056.5845,121087.3991,150761.6746,188664.9546,189663.4972,50753,3,2,1599,5078
75402,33.06724,-96.08576,TX,18412,127778.2279,140700.3683,156235.1896,174162.1971,186197.8478,198851.4813,232083.9488,280188.4365,280570.9418,30152,4,2,2119,2358
75407,33.1512,-96.48808,TX,24864,170246.8915,191805.1788,211998.1137,228322.9967,233895.4217,237755.5227,278054.886,353574.1696,339432.452,39251,4,2,1886,4725
75409,33.35223,-96.52808,TX,20437,187030.5428,205642.8478,226018.133,240457.0659,244313.2371,249714.9139,293375.7892,375522.5905,360144.846,26423,4,3,2218,5870
