state,zipcode,Net_Income
TX,78752,51592
TX,78753,142781
TX,78754,47054
TX,78756,13283
TX,78757,38484
TX,78758,116974
TX,78759,62423
TX,78801,56664
TX,78802,6944
TX,78827,3053
TX,78828,794
TX,78829,3257
TX,78830,1540
TX,78832,6664
TX,78833,3748
TX,78834,19854
TX,78837,445
TX,78838,1151
TX,78839,23063
TX,78840,120332
TX,78850,2646
TX,78852,148956
TX,78860,767
TX,78861,27538
TX,78870,1707
TX,78872,4266
TX,78873,3919
TX,78877,1937
TX,78879,505
TX,78880,3978
TX,78881,5279
TX,78883,368
TX,78884,2292
TX,78886,1284
TX,78931,527
TX,78932,1635
TX,78933,2260
TX,78934,14218
TX,78935,1708
TX,78938,813
TX,78940,3654
TX,78941,6147
TX,78942,19591
TX,78943,1042
TX,78944,1369
TX,78945,20302
TX,78946,2224
TX,78947,8507
TX,78948,1679
TX,78949,890
TX,78950,2928
TX,78953,1987
TX,78954,1956
TX,78956,11741
TX,78957,18979
TX,78959,5099
TX,78962,8891
TX,78963,1959
TX,79001,582
TX,79005,2713
TX,79007,23236
TX,79009,4208
TX,79010,574
TX,79011,826
TX,79012,1050
TX,79013,7253
TX,79014,6171
TX,79015,35924
TX,79018,870
TX,79019,3145
TX,79022,17063
TX,79024,736
TX,79027,9168
TX,79029,31395
TX,79031,2130
TX,79034,814
TX,79035,9592
TX,79036,7871
TX,79039,1321
TX,79040,2133
TX,79041,6552
TX,79042,1775
TX,79043,2523
TX,79044,878
TX,79045,45514
TX,79046,998
TX,79052,2696
TX,79054,791
TX,79057,2610
TX,79059,1182
TX,79061,528
TX,79062,406
TX,79063,1100
TX,79064,5262
TX,79065,35978
TX,79068,4382
TX,79070,17806
TX,79072,58248
TX,79078,662
TX,79079,5351
TX,79080,934
TX,79081,6166
TX,79082,499
TX,79083,3423
TX,79084,3376
TX,79086,3281
TX,79087,1048
TX,79088,11453
TX,79092,2077
TX,79095,5351
TX,79096,3902
TX,79097,1731
TX,79098,937
TX,79101,7250
TX,79102,25630
TX,79103,27422
TX,79104,21793
