zipcode,latitude,longitude,state,population,Net_Income,bedroom_number,bathroom_number,living_space,land_space,Year,Price
75969,31.45,-94.9,TX,3719,8048,3,2,1746,1566,2015,129619.85
75972,31.49,-94.12,TX,6190,14813,3,2,2080,130,2015,117529.36
75973,31.72,-93.93,TX,2809,4810,3,2,1477,21,2015,160003
75974,31.96,-94.24,TX,3296,6799,2,2,2719,16,2015,123347.03
75975,31.9,-94.41,TX,3868,7059,4,2,2347,14,2015,146444.87
75979,30.77,-94.4,TX,12023,17317,3,2,1776,443,2015,88525.16
75980,31.12,-94.35,TX,2407,4516,2,2,1323,473,2015,91078.57
76001,32.63,-97.15,TX,37134,62474,4,3,2411,6175,2015,166982.68
76002,32.62,-97.09,TX,34402,64915,4,2,2272,7031,2015,166683.91
76006,32.79,-97.1,TX,24547,71871,3,3,2558,4089,2015,204250.99
76008,32.68,-97.63,TX,22091,19648,4,3,2884,4521,2015,302460.28
76009,32.42,-97.2,TX,20751,47032,3,2,2028,2747,2015,124466.94
76010,32.72,-97.08,TX,57448,165199,3,2,1564,6281,2015,86391.38
76011,32.75,-97.08,TX,21701,73189,3,2,1574,4197,2015,94187.56
76012,32.75,-97.14,TX,28750,57772,4,3,2521,5111,2015,164196.27
76013,32.72,-97.16,TX,34457,70435,4,2,2015,5064,2015,149061.65
76014,32.69,-97.09,TX,32460,105122,3,2,1532,7692,2015,101424.16
76015,32.69,-97.13,TX,17629,44058,3,2,1772,5660,2015,121329.67
76016,32.69,-97.19,TX,31008,50829,4,3,2505,5086,2015,171349.83
76017,32.66,-97.16,TX,45429,91671,4,3,2281,5496,2015,150548.21
76018,32.66,-97.09,TX,28553,65555,3,2,1861,6216,2015,128125.29
76020,32.9,-97.56,TX,32443,54443,3,2,1998,2056,2015,159728.69
76021,32.85,-97.13,TX,35401,64096,3,2,2039,5400,2015,194430.09
76022,32.83,-97.15,TX,14224,32413,3,2,1725,5228,2015,138479.31
76023,33.05,-97.6,TX,7203,12541,3,3,2255,377,2015,181739.27
76028,32.53,-97.3,TX,74217,112463,3,3,2208,4284,2015,166230.65
76031,32.35,-97.33,TX,18996,38907,3,2,1883,2916,2015,104016.34
76033,32.29,-97.52,TX,26174,55260,3,2,1918,3874,2015,115771.89
76034,32.89,-97.15,TX,25717,24511,4,5,4460,769,2015,456141.88
76035,32.56,-97.64,TX,2844,2877,3,2,2331,4,2015,246223.23
76036,32.57,-97.41,TX,29594,52998,3,2,2173,3488,2015,162285.11
76039,32.86,-97.08,TX,40657,70815,3,2,1709,6206,2015,173586.08
76040,32.82,-97.1,TX,30787,74509,3,3,2120,5192,2015,164072.91
76043,32.2,-97.76,TX,7094,12991,3,3,2386,1777,2015,194187.76
76044,32.43,-97.54,TX,6466,8018,4,3,2411,1103,2015,196961
76048,32.41,-97.8,TX,25691,52038,3,2,1967,3059,2015,158667.5
76049,32.47,-97.71,TX,29154,48229,3,3,2390,2647,2015,199833.78
76050,32.27,-97.16,TX,6760,11622,3,2,2356,845,2015,159990.19
76051,32.94,-97.08,TX,50066,76956,3,3,2265,5712,2015,274378.43
76052,32.98,-97.38,TX,26240,25013,4,3,2508,5141,2015,229514.33
76053,32.82,-97.18,TX,31513,74829,3,2,1712,6501,2015,131904.53
76054,32.86,-97.18,TX,11989,17626,4,3,2650,6364,2015,203287.36
76055,32.16,-97.15,TX,3255,6055,3,2,1797,2557,2015,82074.22
76058,32.47,-97.43,TX,20702,40768,3,2,1938,1637,2015,148357.83
76059,32.39,-97.33,TX,4982,12441,3,2,1546,2901,2015,107812.9
76060,32.64,-97.22,TX,8183,16125,4,2,2244,5037,2015,199906.96
76063,32.57,-97.14,TX,76867,110430,4,3,2737,5708,2015,218332.47
76064,32.31,-97.03,TX,1999,3264,4,3,2695,23,2015,170798.36
76065,32.47,-96.99,TX,40814,51914,4,3,2687,5017,2015,225330.6
76067,32.8,-98.14,TX,20420,47126,4,2,1789,2362,2015,88095.83
76070,32.24,-97.65,TX,814,713,4,3,2708,5,2015,263528.18
76071,33.01,-97.48,TX,4242,7385,4,2,2163,2795,2015,171246.13
76073,33.1,-97.73,TX,6443,9178,3,2,2244,3,2015,209583.69
76082,32.97,-97.72,TX,22082,37748,4,2,2094,1287,2015,182209.69
76085,32.85,-97.7,TX,11143,20528,4,2,2193,802,2015,216042.86
76086,32.75,-97.79,TX,21054,49389,3,2,1808,3203,2015,130032.2
76087,32.67,-97.79,TX,28779,46379,4,3,2968,1643,2015,239220.3
76088,32.85,-97.9,TX,14669,21008,4,3,2323,126,2015,220206.59
76092,32.96,-97.15,TX,31276,27115,5,5,5236,813,2015,580392.37
76093,32.21,-97.4,TX,3239,4500,3,3,1926,3,2015,123327.02
76102,32.76,-97.33,TX,10650,17634,2,2,1658,1880,2015,205391.17
76103,32.75,-97.27,TX,17363,38295,3,2,1611,4862,2015,82961.39
76104,32.73,-97.32,TX,18956,56394,3,2,1586,5797,2015,53893.24
76105,32.72,-97.27,TX,24277,76691,3,2,1399,6226,2015,47693.08
76106,32.81,-97.35,TX,37437,103883,3,2,1425,6716,2015,64260.13
76107,32.74,-97.38,TX,29929,59357,3,3,2332,4794,2015,208698.38
76108,32.78,-97.52,TX,44125,83961,3,2,2054,5462,2015,131418.58
76109,32.7,-97.38,TX,24606,30322,4,3,2773,4073,2015,357405.37
76110,32.71,-97.34,TX,33505,77452,3,2,1827,5722,2015,92199.62
76111,32.78,-97.3,TX,21591,58797,3,2,1763,5746,2015,81603.06
76112,32.75,-97.22,TX,42404,129028,3,2,1807,4404,2015,94737.9
76114,32.77,-97.4,TX,27683,64954,4,3,2209,4551,2015,85403.62
76115,32.68,-97.33,TX,21824,64057,3,2,1360,6384,2015,60061.89
76116,32.72,-97.45,TX,49319,124420,3,2,2027,4485,2015,140711.31
76117,32.8,-97.27,TX,32438,87850,3,2,1643,6483,2015,85668.24
76118,32.8,-97.2,TX,16674,33317,3,2,2130,4425,2015,144854.3
76119,32.69,-97.26,TX,51037,149353,3,2,1511,6644,2015,60628.64
76120,32.77,-97.18,TX,20518,47782,3,2,2243,4608,2015,144395.29
76123,32.62,-97.4,TX,38575,66511,4,3,2482,6373,2015,148489.44
76126,32.64,-97.52,TX,24946,34174,4,3,2586,4454,2015,189266
76131,32.88,-97.35,TX,47569,67305,4,3,2238,6085,2015,170837.36
76132,32.67,-97.42,TX,26437,57600,4,4,3748,2802,2015,251589.77
76133,32.65,-97.38,TX,54186,121891,3,2,1870,6842,2015,113456.29
76134,32.64,-97.33,TX,29208,69845,3,2,1915,6304,2015,102845.52
76135,32.84,-97.47,TX,18939,44091,3,2,2039,3780,2015,128546.83
